# _tick,_time,step,total_loss,mean_episode_return,mean_episode_true_return,pg_loss,baseline_loss,entropy_loss
0,1630993691.8431184,0,57583.01171875,nan,nan,19041.23046875,38551.03125,-9.248199462890625
1,1630993692.418395,320,66226.078125,nan,nan,20427.80859375,45807.515625,-9.24831485748291
2,1630993692.9958024,640,75321.84375,nan,nan,21542.73828125,53788.359375,-9.246909141540527
3,1630993693.614926,960,38049.17578125,nan,nan,14137.07421875,23921.31640625,-9.212936401367188
4,1630993694.176602,1280,9816.0322265625,nan,nan,5633.08349609375,4191.8642578125,-8.914778709411621
5,1630993694.4619083,1600,4585.7607421875,nan,nan,3098.22265625,1495.9832763671875,-8.445168495178223
6,1630993694.8941936,1920,2522.997314453125,nan,nan,1850.08544921875,681.1549682617188,-8.243247032165527
7,1630993695.3230824,2240,5272.76904296875,nan,nan,3284.732421875,1996.48095703125,-8.44444751739502
8,1630993695.7448113,2560,3711.6015625,nan,nan,2418.815185546875,1300.7457275390625,-7.959425926208496
9,1630993696.0375946,2880,3733.153076171875,nan,nan,2357.1591796875,1383.961669921875,-7.967705726623535
10,1630993696.419083,3200,3077.534423828125,nan,nan,2015.309326171875,1069.88623046875,-7.661220073699951
11,1630993696.619914,3520,2732.345947265625,nan,nan,1777.907958984375,962.08056640625,-7.6426215171813965
12,1630993696.8643103,3840,1212.871826171875,nan,nan,903.0173950195312,317.54510498046875,-7.690645694732666
13,1630993697.0756984,4160,1290.5008544921875,nan,nan,949.93701171875,347.9981994628906,-7.434305191040039
14,1630993697.3057287,4480,2221.46142578125,nan,nan,1545.8634033203125,683.8482055664062,-8.250256538391113
15,1630993697.5948224,4800,2116.73486328125,nan,nan,1408.8702392578125,715.6005859375,-7.735861778259277
16,1630993697.80596,5120,1709.4180908203125,nan,nan,1217.47412109375,499.793701171875,-7.84976053237915
17,1630993698.07747,5440,1510.2581787109375,nan,nan,1108.8740234375,409.23114013671875,-7.8470892906188965
18,1630993698.2671876,5760,1525.24462890625,nan,nan,1115.044189453125,417.89532470703125,-7.694876670837402
19,1630993698.4897308,6080,1540.6534423828125,nan,nan,1140.6463623046875,407.79937744140625,-7.792321681976318
20,1630993698.8164499,6400,1679.4239501953125,nan,nan,1265.7216796875,421.5567932128906,-7.854499816894531
21,1630993699.0071824,6720,1720.3797607421875,nan,nan,1227.81982421875,500.28961181640625,-7.7296295166015625
22,1630993699.3178656,7040,1645.129150390625,nan,nan,1176.021484375,476.68377685546875,-7.576193809509277
23,1630993699.5073316,7360,1634.219970703125,nan,nan,1171.8233642578125,470.0339660644531,-7.637327194213867
24,1630993699.6870694,7680,1523.137939453125,2610.0,390.0,966.2974853515625,564.4031982421875,-7.562722206115723
25,1630993699.8735433,8000,1725.7818603515625,2976.666748046875,383.3333435058594,1057.7786865234375,675.8103637695312,-7.807231426239014
26,1630993700.128221,8320,1731.5269775390625,3140.0,420.0,1145.4561767578125,593.4619750976562,-7.391197204589844
27,1630993700.377935,8640,1547.6943359375,2610.0,390.0,1135.70654296875,419.50555419921875,-7.517859935760498
28,1630993700.691063,8960,1581.303466796875,3373.33349609375,456.66668701171875,1022.1090698242188,566.4034423828125,-7.209020614624023
29,1630993700.970125,9280,2475.6455078125,3053.33349609375,550.0,606.681640625,1876.00341796875,-7.039650917053223
30,1630993701.24197,9600,1741.1929931640625,2947.5,520.0,462.1172790527344,1286.535888671875,-7.460227966308594
31,1630993701.507659,9920,730.561279296875,3215.0,715.0,525.6769409179688,211.4333038330078,-6.5489726066589355
32,1630993701.7859583,10240,1121.0240478515625,2637.5,330.0,607.5514526367188,520.459716796875,-6.987161636352539
33,1630993702.0208032,10560,811.4749755859375,2646.666748046875,310.0,436.48858642578125,381.2806396484375,-6.294243812561035
34,1630993702.196227,10880,1584.79052734375,2642.5,290.0,355.05438232421875,1235.901123046875,-6.165021896362305
35,1630993702.4117184,11200,969.8402709960938,2673.33349609375,440.0,272.57373046875,702.2369384765625,-4.970368385314941
36,1630993702.6469958,11520,275.359619140625,nan,nan,255.96142578125,24.710372924804688,-5.3121819496154785
37,1630993702.9133968,11840,456.8985595703125,3696.666748046875,450.0,409.2335510253906,54.01023864746094,-6.345202445983887
38,1630993703.2169607,12160,857.9802856445312,3825.0,535.0,218.95889282226562,645.877685546875,-6.85627555847168
39,1630993703.419586,12480,868.422119140625,3333.33349609375,406.66668701171875,412.13482666015625,462.7823791503906,-6.4951171875
40,1630993703.631846,12800,687.7601928710938,3870.0,980.0,516.4617309570312,177.72442626953125,-6.425940990447998
41,1630993703.906289,13120,1051.9005126953125,2360.0,215.0,341.58123779296875,717.4747924804688,-7.155570030212402
42,1630993704.110399,13440,995.2207641601562,2405.0,330.0,741.855712890625,260.447509765625,-7.082468032836914
43,1630993704.2921703,13760,2251.399169921875,3680.0,620.0,1001.405517578125,1257.2633056640625,-7.269839286804199
44,1630993704.500167,14080,998.097412109375,3260.0,570.0,795.8735961914062,209.58497619628906,-7.361164569854736
45,1630993704.7866552,14400,3188.057373046875,1476.666748046875,250.0,948.527099609375,2247.318359375,-7.788039207458496
46,1630993705.0695784,14720,2410.485107421875,1450.0,150.0,552.8787841796875,1865.0228271484375,-7.41646671295166
47,1630993705.3282242,15040,1538.7655029296875,1930.0,230.0,914.6318359375,631.71240234375,-7.578709602355957
48,1630993705.5403056,15360,1895.6451416015625,1650.0,210.0,656.3807373046875,1246.6533203125,-7.388858318328857
49,1630993705.7895021,15680,965.3541870117188,1910.0,255.0,477.2330322265625,494.8792419433594,-6.7581095695495605
50,1630993706.052049,16000,893.1531372070312,1340.0,120.0,599.240478515625,301.27984619140625,-7.3671875
51,1630993706.27426,16320,1186.532958984375,1650.0,210.0,665.4537963867188,528.9085693359375,-7.82934045791626
52,1630993706.5261428,16640,1254.64306640625,1260.0,60.0,654.6581420898438,607.492919921875,-7.508037090301514
53,1630993706.7200775,16960,733.6876831054688,nan,nan,656.585205078125,84.37015533447266,-7.26769495010376
54,1630993707.0244565,17280,1311.3212890625,1830.0,345.0,438.6058654785156,880.3233642578125,-7.607868671417236
55,1630993707.31784,17600,674.8902587890625,2540.0,530.0,588.6888427734375,93.56002807617188,-7.358630180358887
56,1630993707.545144,17920,1036.505615234375,nan,nan,882.2733154296875,161.88980102539062,-7.657512664794922
57,1630993707.7408214,18240,1812.9423828125,1795.0,302.5,455.8645935058594,1364.8826904296875,-7.804923057556152
58,1630993708.0298207,18560,930.1738891601562,2134.0,418.0,260.872314453125,676.983642578125,-7.68208646774292
59,1630993708.29649,18880,437.28564453125,1853.3333740234375,276.66668701171875,332.75238037109375,111.26368713378906,-6.730412483215332
60,1630993708.4672105,19200,1350.45166015625,2020.0,225.0,204.28384399414062,1153.041748046875,-6.873865604400635
61,1630993708.7484179,19520,1684.890869140625,2920.0,517.5,193.58152770996094,1498.353271484375,-7.043932914733887
62,1630993708.9791815,19840,1198.2109375,1495.0,95.0,209.25335693359375,994.5362548828125,-5.578598976135254
63,1630993709.1957424,20160,972.0277099609375,3046.666748046875,300.0,101.82623291015625,875.6527709960938,-5.451322078704834
64,1630993709.456249,20480,1177.0223388671875,3225.0,885.0,177.2676544189453,1004.98779296875,-5.233122825622559
65,1630993709.6936991,20800,1001.6040649414062,1950.0,442.5,-133.8570098876953,1141.02197265625,-5.560904026031494
66,1630993709.955301,21120,279.3598937988281,2643.33349609375,420.0,227.4006805419922,56.300132751464844,-4.340915679931641
67,1630993710.1829464,21440,2690.3232421875,2290.0,407.5,-121.25877380371094,2817.200927734375,-5.618820667266846
68,1630993710.4218225,21760,585.0120849609375,1396.666748046875,130.0,147.5915069580078,442.27215576171875,-4.851571083068848
69,1630993710.59915,22080,533.4930419921875,1025.0,80.0,322.88446044921875,216.36752319335938,-5.758896827697754
70,1630993710.8956585,22400,484.536865234375,620.0,60.0,394.58770751953125,95.62405395507812,-5.674887657165527
71,1630993711.147461,22720,554.1588745117188,1165.0,90.0,393.0919189453125,167.01617431640625,-5.949234485626221
72,1630993711.4333177,23040,3107.268798828125,1145.0,45.0,168.1984405517578,2945.177490234375,-6.107210159301758
73,1630993711.6532252,23360,2385.27392578125,1670.0,203.33334350585938,620.4979248046875,1770.995361328125,-6.219202518463135
74,1630993711.9024177,23680,1419.8260498046875,1010.0,110.0,389.76947021484375,1036.3096923828125,-6.253015995025635
75,1630993712.119812,24000,3438.149169921875,1167.5,110.0,-33.97400665283203,3478.546875,-6.423649787902832
76,1630993712.3067656,24320,661.4271850585938,1305.0,120.0,542.9125366210938,124.21136474609375,-5.69671106338501
77,1630993712.569152,24640,2238.9833984375,1370.0,186.6666717529297,391.5572814941406,1853.756591796875,-6.330502986907959
78,1630993712.7921462,24960,1831.22802734375,1133.3333740234375,113.33333587646484,623.719970703125,1213.9068603515625,-6.398831844329834
79,1630993713.122442,25280,2194.55859375,1125.0,195.0,449.4180603027344,1751.29052734375,-6.149804592132568
80,1630993713.3345904,25600,1468.859375,1380.0,182.5,386.3410949707031,1089.0863037109375,-6.567993640899658
81,1630993713.549568,25920,601.6812744140625,nan,nan,537.0548095703125,71.1600112915039,-6.533545970916748
82,1630993713.8235998,26240,1688.2364501953125,1455.0,160.0,88.0221939086914,1606.866455078125,-6.652254581451416
83,1630993714.0168052,26560,963.972412109375,1173.3333740234375,176.6666717529297,291.4185485839844,678.9658203125,-6.411966323852539
84,1630993714.2766376,26880,2489.256591796875,2003.3333740234375,236.6666717529297,40.20860290527344,2455.6337890625,-6.585812091827393
85,1630993714.4747467,27200,932.6795043945312,1476.666748046875,190.0,364.8031311035156,574.0623779296875,-6.185948371887207
86,1630993714.663278,27520,1654.10546875,1122.5,95.0,62.88051986694336,1597.85791015625,-6.632981300354004
87,1630993714.9891746,27840,2278.52734375,1280.0,148.0,-59.19757843017578,2344.565185546875,-6.84026575088501
88,1630993715.1674392,28160,1052.5709228515625,1190.0,100.0,206.83270263671875,852.730224609375,-6.992013454437256
89,1630993715.3496668,28480,1019.4007568359375,1288.3333740234375,151.6666717529297,185.235107421875,841.5460815429688,-7.380485534667969
90,1630993715.5383606,28800,1060.0634765625,1580.0,142.5,36.466583251953125,1030.3177490234375,-6.720834732055664
91,1630993715.8038971,29120,2839.894775390625,1388.0,66.0,-298.11090087890625,3143.530517578125,-5.524834632873535
92,1630993716.1813564,29440,2390.431640625,2028.0,200.0,20.074256896972656,2375.188232421875,-4.830846309661865
93,1630993716.4963567,29760,4137.228515625,1626.666748046875,151.6666717529297,-173.28778076171875,4316.13037109375,-5.614469051361084
94,1630993716.671498,30080,2725.95263671875,1206.666748046875,53.333335876464844,184.9988555908203,2547.51708984375,-6.563199996948242
95,1630993716.9675293,30400,1917.07421875,1663.3333740234375,153.33334350585938,407.1309509277344,1516.5390625,-6.595818519592285
96,1630993717.1432092,30720,1247.5780029296875,2480.0,375.0,807.9698486328125,445.7335205078125,-6.125330448150635
97,1630993717.3293257,31040,1006.8601684570312,1350.0,80.0,255.76425170898438,757.01171875,-5.915854454040527
98,1630993717.7036538,31360,1238.9671630859375,1270.0,50.0,303.489501953125,940.6028442382812,-5.125075340270996
99,1630993717.8856573,31680,880.66015625,1212.5,60.0,157.7119903564453,727.5675659179688,-4.619372367858887
100,1630993718.1147594,32000,2059.742431640625,1255.0,67.5,213.3809814453125,1849.93115234375,-3.569499969482422
101,1630993718.4757621,32320,992.0625,1185.0,45.0,529.443359375,468.1572265625,-5.538096904754639
102,1630993718.6755617,32640,2483.2646484375,1183.3333740234375,60.0,176.02999877929688,2312.75732421875,-5.5228095054626465
103,1630993718.8675523,32960,2324.05908203125,1140.0,70.0,281.16815185546875,2049.169921875,-6.278946399688721
104,1630993719.1317904,33280,1481.7899169921875,1373.3333740234375,60.0,283.42401123046875,1205.38623046875,-7.020333290100098
105,1630993719.3793585,33600,1804.538330078125,1340.0,90.0,-498.47467041015625,2309.91357421875,-6.9006028175354
106,1630993719.6227648,33920,556.3115234375,1435.0,130.0,172.2199249267578,390.176025390625,-6.084420204162598
107,1630993719.8321588,34240,1052.8121337890625,1562.5,152.5,-203.9548797607422,1262.418212890625,-5.651206016540527
108,1630993720.1045475,34560,409.6754455566406,1620.0,183.33334350585938,276.3938293457031,138.38900756835938,-5.107388019561768
109,1630993720.3924885,34880,1110.5113525390625,1877.5,172.5,134.8515625,981.49365234375,-5.833917617797852
110,1630993720.6117246,35200,3019.83544921875,1266.0,130.0,-546.7182006835938,3571.935546875,-5.381771087646484
111,1630993720.8476977,35520,1133.3900146484375,1425.0,75.0,19.65862274169922,1118.22998046875,-4.4985032081604
112,1630993721.1135623,35840,1032.1361083984375,1326.666748046875,90.0,158.71775817871094,878.2778930664062,-4.859464168548584
113,1630993721.3067703,36160,586.3961791992188,1373.3333740234375,60.0,222.30751037597656,368.3489990234375,-4.260297775268555
114,1630993721.5626624,36480,4140.7275390625,1323.3333740234375,60.0,171.6917266845703,3972.885986328125,-3.8500382900238037
115,1630993721.7347155,36800,1840.9012451171875,1506.666748046875,153.33334350585938,435.0486755371094,1410.98486328125,-5.132368087768555
116,1630993721.9396954,37120,5309.13671875,1355.0,87.5,-433.47601318359375,5747.689453125,-5.076721668243408
117,1630993722.2714183,37440,1433.095947265625,1323.3333740234375,80.0,420.64703369140625,1017.8399047851562,-5.390955924987793
118,1630993722.5152447,37760,805.0690307617188,1450.0,45.0,407.4091796875,402.46490478515625,-4.8050642013549805
119,1630993722.733856,38080,1122.95556640625,1470.0,140.0,62.074012756347656,1065.333984375,-4.452422618865967
120,1630993722.9561052,38400,649.5025024414062,1300.0,140.0,416.7745361328125,236.52005004882812,-3.7920238971710205
121,1630993723.1252573,38720,741.8966064453125,1820.0,200.0,499.859619140625,246.15670776367188,-4.119747638702393
122,1630993723.3115304,39040,3456.0634765625,1820.0,105.0,560.3536376953125,2900.45166015625,-4.741640090942383
123,1630993723.499275,39360,1315.2401123046875,nan,nan,872.6546630859375,446.959716796875,-4.374311923980713
124,1630993723.7860744,39680,3024.7216796875,1645.0,115.0,828.2182006835938,2200.901611328125,-4.398139953613281
125,1630993724.1788278,40000,1195.8594970703125,2080.0,310.0,606.5413818359375,594.1676025390625,-4.849503517150879
126,1630993724.5160992,40320,1095.3326416015625,1315.0,200.0,535.81689453125,563.8626708984375,-4.3469438552856445
127,1630993724.7248144,40640,1013.028076171875,840.0,90.0,300.7779846191406,716.4873657226562,-4.237312316894531
128,1630993724.9251194,40960,725.9235229492188,2760.0,260.0,136.644287109375,593.0704345703125,-3.7912096977233887
129,1630993725.1949668,41280,1721.78125,1405.0,180.0,126.11351776123047,1599.1983642578125,-3.530644655227661
130,1630993725.4235356,41600,1375.3310546875,2045.0,175.0,332.4519958496094,1047.63134765625,-4.752264976501465
131,1630993725.5964124,41920,2450.010009765625,1240.0,90.0,860.2415771484375,1594.341064453125,-4.572530269622803
132,1630993725.8268142,42240,5598.80126953125,1483.3333740234375,163.33334350585938,-222.66526794433594,5826.28125,-4.8148016929626465
133,1630993726.1149015,42560,5124.4443359375,1265.0,115.0,83.57928466796875,5045.36474609375,-4.4992876052856445
134,1630993726.2889168,42880,2227.72802734375,2640.0,255.0,429.461181640625,1802.968994140625,-4.702264785766602
135,1630993726.5146108,43200,2941.96533203125,2400.0,210.0,534.1702270507812,2412.080078125,-4.285011291503906
136,1630993726.8521461,43520,1627.23388671875,nan,nan,1001.6289672851562,629.44091796875,-3.835942506790161
137,1630993727.0378945,43840,3129.59423828125,2320.0,250.0,782.7576293945312,2350.81787109375,-3.981295108795166
138,1630993727.2819898,44160,6625.50634765625,1730.0,155.0,706.877197265625,5922.22509765625,-3.5962893962860107
139,1630993727.4903493,44480,4917.017578125,2035.0,240.0,595.84130859375,4325.478515625,-4.302037715911865
140,1630993727.775291,44800,1276.126220703125,nan,nan,920.2156982421875,360.9032897949219,-4.992858409881592
141,1630993728.0522,45120,2037.6009521484375,nan,nan,1285.513671875,756.939453125,-4.852158069610596
142,1630993728.2509499,45440,2210.799560546875,nan,nan,1344.981689453125,870.4852905273438,-4.667395114898682
143,1630993728.5581162,45760,4313.61279296875,1980.0,250.0,1043.3350830078125,3274.811279296875,-4.533639907836914
144,1630993728.8053143,46080,1721.1893310546875,nan,nan,1060.8436279296875,664.943115234375,-4.597390174865723
145,1630993729.0515022,46400,5235.62109375,2700.0,280.0,-69.024658203125,5308.89111328125,-4.24524450302124
146,1630993729.2215686,46720,2385.418701171875,nan,nan,1035.2156982421875,1353.54150390625,-3.3386809825897217
147,1630993729.4058218,47040,4793.3681640625,2990.0,680.0,432.228759765625,4364.3701171875,-3.230280876159668
148,1630993729.6982105,47360,1642.8472900390625,nan,nan,978.7621459960938,667.927001953125,-3.8419508934020996
149,1630993730.0211346,47680,1253.4451904296875,nan,nan,765.916748046875,491.3348388671875,-3.806344509124756
150,1630993730.273581,48000,1542.5643310546875,nan,nan,903.1181640625,643.1949462890625,-3.74882435798645
151,1630993730.4999802,48320,5251.296875,3800.0,875.0,384.9212341308594,4870.15478515625,-3.7793121337890625
